"fl_date","mkt_unique_carrier","branded_code_share","mkt_carrier","mkt_carrier_fl_num","op_unique_carrier","tail_num","op_carrier_fl_num","origin_airport_id","origin","origin_city_name","dest_airport_id","dest","dest_city_name","crs_dep_time","dep_time","dep_delay","taxi_out","wheels_off","wheels_on","taxi_in","crs_arr_time","arr_time","arr_delay","cancelled","cancellation_code","diverted","dup","crs_elapsed_time","actual_elapsed_time","air_time","flights","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","first_dep_time","total_add_gtime","longest_add_gtime","no_name"
"2018-12-04","WN","WN","WN",280,"WN","N902WN",280,13796,"OAK","Oakland, CA",10800,"BUR","Burbank, CA",1150,1145,-5,15,1200,1252,4,1255,1256,1,0,NULL,0,"N",65,71,52,1,325,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-05-17","DL","DL_CODESHARE","DL",3529,"OO","N554CA",3529,10627,"BIS","Bismarck/Mandan, ND",13487,"MSP","Minneapolis, MN",1329,1333,4,9,1342,1440,5,1457,1445,-12,0,NULL,0,"N",88,72,58,1,386,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-27","DL","DL_CODESHARE","DL",6060,"YX","N873RW",6060,12339,"IND","Indianapolis, IN",12953,"LGA","New York, NY",830,823,-7,16,839,1013,5,1041,1018,-23,0,NULL,0,"N",131,115,94,1,660,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-08-28","UA","UA_CODESHARE","UA",4922,"C5","N14198",4922,10785,"BTV","Burlington, VT",11618,"EWR","Newark, NJ",735,735,0,11,746,830,12,856,842,-14,0,NULL,0,"N",81,67,44,1,266,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-02-21","UA","UA","UA",780,"UA","N409UA",780,11775,"FSD","Sioux Falls, SD",11292,"DEN","Denver, CO",600,613,13,23,636,653,7,653,700,7,0,NULL,0,"N",113,107,77,1,483,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-12-09","AS","AS","AS",637,"AS","N237AK",637,14107,"PHX","Phoenix, AZ",14747,"SEA","Seattle, WA",615,558,-17,15,613,758,10,826,808,-18,0,NULL,0,"N",191,190,165,1,1107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-06-04","UA","UA","UA",325,"UA","N77535",325,12892,"LAX","Los Angeles, CA",12889,"LAS","Las Vegas, NV",2256,2254,-2,28,2322,3,6,13,9,-4,0,NULL,0,"N",77,75,41,1,236,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-10-17","WN","WN","WN",923,"WN","N945WN",923,10821,"BWI","Baltimore, MD",10397,"ATL","Atlanta, GA",1515,1515,0,9,1524,1657,6,1705,1703,-2,0,NULL,0,"N",110,108,93,1,577,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-11","AA","AA_CODESHARE","AA",4442,"YX","N425YX",4442,14122,"PIT","Pittsburgh, PA",12953,"LGA","New York, NY",701,716,15,33,749,844,15,838,859,21,0,NULL,0,"N",97,103,55,1,335,15,0,6,0,0,NULL,NULL,NULL,NULL
"2019-05-11","UA","UA_CODESHARE","UA",4047,"EV","N12900",4047,12266,"IAH","Houston, TX",11140,"CRP","Corpus Christi, TX",1225,1218,-7,16,1234,1331,6,1330,1337,7,0,NULL,0,"N",65,79,57,1,201,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
