fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-11-13,AA,AA_CODESHARE,AA,4850,PT,N657AE,4850,15096,SYR,"Syracuse, NY",14100,PHL,"Philadelphia, PA",1315,1306.0,-9.0,10.0,1316.0,1404.0,4.0,1439,1408.0,-31.0,0,,0,N,84,62.0,48.0,1,228,,,,,,,,,
2019-12-08,B6,B6,B6,168,B6,N633JB,168,13796,OAK,"Oakland, CA",12478,JFK,"New York, NY",2344,2337.0,-7.0,17.0,2354.0,756.0,11.0,803,807.0,4.0,0,,0,N,319,330.0,302.0,1,2576,,,,,,,,,
2018-08-01,UA,UA_CODESHARE,UA,5068,OO,N975SW,5068,11027,CKB,"Clarksburg/Fairmont, WV",12264,IAD,"Washington, DC",610,606.0,-4.0,8.0,614.0,644.0,9.0,714,653.0,-21.0,0,,0,N,64,47.0,30.0,1,151,,,,,,,,,
2018-02-27,WN,WN,WN,388,WN,N968WN,388,10821,BWI,"Baltimore, MD",11193,CVG,"Cincinnati, OH",825,926.0,61.0,13.0,939.0,1053.0,5.0,1010,1058.0,48.0,0,,0,N,105,92.0,74.0,1,430,48.0,0.0,0.0,0.0,0.0,,,,
2019-05-27,WN,WN,WN,1353,WN,N8575Z,1353,12339,IND,"Indianapolis, IN",11292,DEN,"Denver, CO",640,638.0,-2.0,12.0,650.0,727.0,4.0,725,731.0,6.0,0,,0,N,165,173.0,157.0,1,977,,,,,,,,,
2019-06-12,AA,AA_CODESHARE,AA,3696,MQ,N667GB,3696,13930,ORD,"Chicago, IL",11067,CMI,"Champaign/Urbana, IL",2025,2048.0,23.0,49.0,2137.0,2208.0,5.0,2119,2213.0,54.0,0,,0,N,54,85.0,31.0,1,135,0.0,0.0,36.0,0.0,18.0,,,,
2018-06-24,DL,DL,DL,1180,DL,N909DA,1180,11193,CVG,"Cincinnati, OH",11292,DEN,"Denver, CO",800,758.0,-2.0,11.0,809.0,831.0,5.0,857,836.0,-21.0,0,,0,N,177,158.0,142.0,1,1069,,,,,,,,,
2019-10-18,WN,WN,WN,2277,WN,N209WN,2277,13296,MHT,"Manchester, NH",10821,BWI,"Baltimore, MD",1330,1332.0,2.0,9.0,1341.0,1444.0,5.0,1505,1449.0,-16.0,0,,0,N,95,77.0,63.0,1,377,,,,,,,,,
2019-03-30,AA,AA,AA,711,AA,N818AW,711,12266,IAH,"Houston, TX",13303,MIA,"Miami, FL",1117,1139.0,22.0,15.0,1154.0,1448.0,5.0,1441,1453.0,12.0,0,,0,N,144,134.0,114.0,1,964,,,,,,,,,
2019-03-19,AA,AA,AA,151,AA,N868NN,151,14492,RDU,"Raleigh/Durham, NC",11057,CLT,"Charlotte, NC",517,512.0,-5.0,30.0,542.0,618.0,7.0,620,625.0,5.0,0,,0,N,63,73.0,36.0,1,130,,,,,,,,,
