mkt_unique_carrier,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,dest_airport_id,dest,arr_delay,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,year,month,day_of_month,day_of_week,dep_hour_of_day,arr_hour_of_day,origin_state,destination_state,arr_delay_mean_by_mkt_unique_carrier,arr_delay_mean_by_op_unique_carrier,arr_delay_encoded,origin_dest_pair,quarter_Q1,quarter_Q2,quarter_Q3,quarter_Q4,dep_time_of_day_afternoon,dep_time_of_day_evening,dep_time_of_day_morning,dep_time_of_day_night,arr_time_of_day_afternoon,arr_time_of_day_evening,arr_time_of_day_morning,arr_time_of_day_night
0,0,3153,19,2100,3153,15096,SYR,14100,PHL,-31.0,84,62.0,48.0,1,228,2019,11,13,2,13,14,NY,PA,5.328595793064243,5.953181272509004,0,SYR-PHL,0,0,0,1,1,0,0,0,1,0,0,0
2,2,114,4,1997,114,13796,OAK,12478,JFK,4.0,319,330.0,302.0,1,2576,2019,12,8,6,23,8,CA,NY,6.360829389226956,6.360829389226956,1,OAK-JFK,0,0,0,1,0,1,0,0,0,0,1,0
8,8,3276,18,3831,3276,11027,CKB,12264,IAD,-21.0,64,47.0,30.0,1,151,2018,8,1,2,6,7,WV,DC,10.231880437950128,7.3318759936407,0,CKB-IAD,0,0,1,0,0,0,1,0,0,0,1,0
10,10,283,23,3806,283,10821,BWI,11193,CVG,48.0,105,92.0,74.0,1,430,2018,2,27,1,8,10,MD,OH,2.438349885408711,2.438349885408711,1,BWI-CVG,1,0,0,0,0,0,1,0,0,0,1,0
10,10,1021,23,3001,1021,12339,IND,11292,DEN,6.0,165,173.0,157.0,1,977,2019,5,27,0,6,7,IN,CO,2.438349885408711,2.438349885408711,1,IND-DEN,0,1,0,0,0,0,1,0,0,0,1,0
0,0,2528,15,2136,2528,13930,ORD,11067,CMI,54.0,54,85.0,31.0,1,135,2019,6,12,2,20,21,IL,IL,5.328595793064243,5.849722530521643,1,ORD-CMI,0,1,0,0,0,1,0,0,0,1,0,0
3,3,885,7,3350,885,11193,CVG,11292,DEN,-21.0,177,158.0,142.0,1,1069,2018,6,24,6,8,8,OH,CO,2.1440377343780463,-0.3018240950226244,0,CVG-DEN,0,1,0,0,0,0,1,0,0,0,1,0
10,10,1727,23,491,1727,13296,MHT,10821,BWI,-16.0,95,77.0,63.0,1,377,2019,10,18,4,13,15,NH,MD,2.438349885408711,2.438349885408711,0,MHT-BWI,0,0,0,1,1,0,0,0,1,0,0,0
0,0,550,1,2757,550,12266,IAH,13303,MIA,12.0,144,134.0,114.0,1,964,2019,3,30,5,11,14,TX,FL,5.328595793064243,5.396409761887101,1,IAH-MIA,1,0,0,0,0,0,1,0,1,0,0,0
0,0,103,1,3108,103,14492,RDU,11057,CLT,5.0,63,73.0,36.0,1,130,2019,3,19,1,5,6,NC,NC,5.328595793064243,5.396409761887101,1,RDU-CLT,1,0,0,0,0,0,0,1,0,0,1,0
